Kamadamake
-------------

ma.dle.wa. | Madlewa
nɪə.jɪədʒ. | Niyij
ɪən.ʒɛ. | Inzhe
θɪəd.dɪəm. | Thiddim
ʒɪək.ʃɪəd. | Zhikshid
kɪən.ʒɛdʒ. | Kinzhej
ʒɪə.nɪə. | Zhini
dɪə.kən. | Dikun
ʒɪən. | Zhin
nɪəd.ʒɪə. | Nidzhi
ʒɪəd. | Zhid
θɪən.ʒɪən. | Thinzhin
dʒə.sɪəθ. | Jusith
dɛd.dɪəd. | Deddid
ʒɪ.dar. | Zhydar
ʒɪd.ʒɪə. | Zhydzhi
səθ. | Suth
ʒad.ʒɪəd. | Zhadzhid
ʒɪə.θɪən. | Zhithin
dad. | Dad
ʒɛk.nəd. | Zheknud
ka.ʒɪən. | Kazhin
ʒɪən. | Zhin
mɪəm. | Mim
ʒɪə.seɪ. | Zhisay
nɪəd.kɪəθ. | Nidkith
dʒɪəʃ. | Jish
mɪəm.ʒɪəd. | Mimzhid
ʒɪə.tɪəd. | Zhitid
ʒɪəʃ. | Zhish
θɪəm. | Thim
ʒɪəd. | Zhid
ʃɪəθ. | Shith
mɪəm.daɪ. | Mimdiy
ʒɛʃ.ʒɪən. | Zheshzhin
ʒɪən.ʒeɪ. | Zhinzhay
ʒɪən. | Zhin
dʒʊd. | Juyd
ʒɪə.ʒɪə. | Zhizhi
nəd.ʒɛn. | Nudzhen
kə.jɪəg. | Kuyig
jɪəg.jan. | Yigyan
nəd.ʒɪəʃ. | Nudzhish
sɪən.ʒɪə. | Sinzhi
nɪə.θɪən. | Nithin
dɪəd.kaɪʃ. | Didkiysh
də.dʒəd. | Dujud
gɪən. | Gin
ʒɪəm.θɪən. | Zhimthin
nəd.ʒɛ. | Nudzhe
kɪəθ. | Kith
nɪə.ʒɛk. | Nizhek
nɪən.ʒɪəʃ. | Ninzhish
jan. | Yan
jan.ʒɪən. | Yanzhin
dɪəg. | Dig
ʒɛd.ʒɪəm. | Zhedzhim
ʒɪə.ʒɪə. | Zhizhi
sɪəd. | Sid
θɪən.ʒɪəd. | Thinzhid
>>> 
kɪəg.mɪə. | Kigmi
dɪə.sɪən. | Disin
jɪən.daʃ. | Yindash
nɪədʒ.sɪən. | Nijsin
nʊ.jɪən. | Nuyyin
nɪə.kɪə. | Niki
nən.dɪə. | Nundi
tʊ.dʒɪə. | Tuyji
ʒɪəθ. | Zhith
deɪ.meɪ. | Daymay
ʒɪək. | Zhik
nɪərlθ. | Nirlth
neɪʃ.θɪəd. | Nayshthid
ʒɪə.ɪə.ʒɪəm. | Zhiizhim
ʒɛk.ʒɪən. | Zhekzhin
nɪə.ʒəd. | Nizhud
θun.dɪərd. | Thondird
məʃ. | Mush
ʒɪəd. | Zhid
ʒɪəθ.ʒɪədʒ. | Zhithzhij
gɪəlθ.nɪə. | Gilthni
mʊθ.θɪə. | Muyththi
ʒɪə.neɪʃ. | Zhinaysh
sɪə.sɪəm. | Sisim
ʒɪəm.ʒɪədʒ. | Zhimzhij
ʒɪək.ʒʊn. | Zhikzhuyn
ʒɪəd.ʒɪə. | Zhidzhi
ʒaɪʃ.ʒɪəm. | Zhiyshzhim
ʒət.ʒɛ. | Zhutzhe
ɪə.dɪə. | Idi
ʒɛn.dɪəθ. | Zhendith
θɪəθ.nɪəʃ. | Thithnish
sə.ʒɪəʃ. | Suzhish
dɪə.naɪ. | Diniy
ʒɛ.kɪəg. | Zhekig
jɪə.ʒɪə. | Yizhi
dɪə.tɪən. | Ditin
sɪədʒ. | Sij
ɪə.ʒɪə. | Izhi
ʒɪəʃ.məʃ. | Zhishmush
tɪə.mɪə. | Timi
mɪə. | Mi
jɪən.nɪə. | Yinni
tɪə. | Ti
nɪəʃ.dʒɪθ. | Nishjyth
ʒə.nɪə. | Zhuni
ʒɪəd.ʒɪə. | Zhidzhi
ʃɪəd. | Shid
nɪə.nɪə. | Nini
nɪn. | Nyn
ʃə.deɪ. | Shuday
dɪəθ.ʒɪət. | Dithzhit
ʒɪəθ. | Zhith
ʒɪət.ʒɪəm. | Zhitzhim
dɪə.sɪək. | Disik
θɪək.nɪəθ. | Thiknith
θɪəd.ʒɛ. | Thidzhe
nɪə.θɪəd. | Nithid
ʒə.ʒɪə. | Zhuzhi
deɪ.ʒɪəd. | Dayzhid
dɪəθ.ʒeɪn. | Dithzhayn
kɪəg. | Kig
jɪə.ʒɪəm. | Yizhim
ʒɪəd. | Zhid
tɪəd. | Tid
ʒɪə.nɪəm. | Zhinim
nɪəθ.ʃɪəd. | Nithshid
ʃɪəd.sɪə. | Shidsi
nɪə.θɛʃ. | Nithesh
sɪə.sɪə. | Sisi
ʒɪəm.mɪə. | Zhimmi
nɪə. | Ni
dʒɪə.ʃɪə. | Jishi
sɪə.ʒɛ. | Sizhe
mɪəg. | Mig
nʊ.ʃaɪ. | Nuyshiy
ʒɪəd.nɪəθ. | Zhidnith
ʒɪə.ʒɛk. | Zhizhek
ʒəd.ʒɪə. | Zhudzhi
ʒɪn.də. | Zhyndu
ɪə.dɪə. | Idi
θɛʃ.ʒɪə. | Theshzhi
ʒɪə.kə. | Zhiku
ʒɪə.nɪə. | Zhini
θɪəθ. | Thith
dɪərd. | Dird
ʒaɪ.mʊθ. | Zhiymuyth
ʃɪə.ʒət. | Shizhut
ʒɪə.ʒɪ. | Zhizhy
ʒɪək.nən. | Zhiknun
jɪə.ʒɪədʒ. | Yizhij
nɪərlθ. | Nirlth
ʒa.ʒɪədʒ. | Zhazhij
nɪə.ʒɪ. | Nizhy
dʒɪə.ʃɪə. | Jishi
ʒʊn.θɪəθ. | Zhuynthith
ʒɪək. | Zhik
nɪəm.ʒaɪʃ. | Nimzhiysh
ʒɪədʒ. | Zhij
də.ʒɪəd. | Duzhid

